"name","company","gender","age","age_groups","bookings_cnt","total_spending","users_seg","first_booking_date","latest_booking_date","life_span_years","recency_in_years","avg_booking_value","avg_yearly_spend"
"Juanita Palmer","Acme Factory","n/a",42,"40-49","76","193935.42","VIP","2019-09-26","2023-07-06","3.78","1.70","2551.78","51305.67"
"Lyndon Germain","Umbrella LTDA","n/a",47,"40-49","68","177537.40","VIP","2019-10-24","2023-07-13","3.72","1.68","2610.84","47725.11"
"Tiffany Behm","Acme Factory","Female",46,"40-49","63","176403.22","VIP","2019-09-26","2023-06-29","3.76","1.72","2800.05","46915.75"
"Sandra Cutlip","Umbrella LTDA","Female",51,"50-59","63","176235.68","VIP","2019-09-26","2023-02-23","3.41","2.06","2797.39","51682.02"
"Beverly Campbell","Umbrella LTDA","Female",64,"60-69","64","175111.04","VIP","2019-10-03","2023-04-20","3.55","1.91","2736.11","49327.05"
"Maria Hawthorne","Umbrella LTDA","n/a",58,"50-59","64","174785.75","VIP","2019-10-10","2023-02-23","3.38","2.06","2731.03","51711.76"
"Leonora Davis","Acme Factory","Female",26,"20-29","69","174274.64","VIP","2019-10-17","2023-01-12","3.24","2.18","2525.72","53788.47"
"Suzanne Mancine","Acme Factory","n/a",58,"50-59","65","173766.95","VIP","2019-10-03","2022-10-13","3.03","2.43","2673.34","57348.83"
"Jennifer Avalos","4You","n/a",47,"40-49","67","171995.72","VIP","2019-09-26","2022-11-03","3.11","2.37","2567.10","55304.09"
"Linda Ellis","4You","n/a",53,"50-59","73","168732.15","VIP","2019-09-26","2023-05-18","3.64","1.83","2311.40","46354.99"
"Mark Eisentrout","4You","n/a",43,"40-49","67","168675.98","VIP","2019-09-26","2023-05-11","3.62","1.85","2517.55","46595.57"
"Steven Carlisle","Acme Factory","Male",43,"40-49","62","167783.74","VIP","2019-10-24","2023-04-13","3.47","1.93","2706.19","48352.66"
"Ronald Sullivan","Acme Factory","n/a",41,"40-49","65","167678.77","VIP","2019-09-26","2023-06-29","3.76","1.72","2579.67","44595.42"
"Darin Lopez","Acme Factory","Male",35,"30-39","66","167447.33","VIP","2019-10-10","2023-06-29","3.72","1.72","2537.08","45012.72"
"Steven Smith","Umbrella LTDA","Male",64,"60-69","60","167143.79","VIP","2019-10-03","2023-06-01","3.66","1.79","2785.73","45667.70"
"Sonia Mims","Umbrella LTDA","n/a",26,"20-29","61","167115.84","VIP","2019-09-26","2023-03-23","3.49","1.99","2739.60","47884.19"
"Leonor Blanchard","Acme Factory","n/a",39,"30-39","63","166785.82","VIP","2019-10-24","2022-10-06","2.95","2.45","2647.39","56537.57"
"Edwin Miller","Acme Factory","Male",29,"20-29","60","166122.11","VIP","2019-09-26","2023-03-23","3.49","1.99","2768.70","47599.46"
"Guy Love","Acme Factory","Male",37,"30-39","62","165580.47","VIP","2019-10-24","2023-04-13","3.47","1.93","2670.65","47717.71"
"Tommy Burns","4You","Male",25,"20-29","69","164460.26","VIP","2019-10-17","2023-03-16","3.41","2.01","2383.48","48228.82"
"Cynthia Hambleton","Acme Factory","n/a",45,"40-49","63","163878.93","VIP","2019-10-10","2023-03-02","3.39","2.04","2601.25","48341.87"
"Claudia Liang","Acme Factory","Female",27,"20-29","63","163699.10","VIP","2019-09-26","2023-06-29","3.76","1.72","2598.40","43536.99"
"Benjamin Vanbuskirk","4You","Male",52,"50-59","64","163351.82","VIP","2019-09-26","2023-06-08","3.70","1.78","2552.37","44149.14"
"William Henslee","Umbrella LTDA","Male",62,"60-69","61","163109.17","VIP","2019-10-03","2022-12-29","3.24","2.22","2673.92","50342.34"
"Debra Stubbs","Umbrella LTDA","Female",60,"60-69","60","162551.84","VIP","2019-10-24","2023-04-20","3.49","1.91","2709.20","46576.46"
"Megan Anderson","Umbrella LTDA","Female",59,"50-59","62","161413.31","VIP","2019-09-26","2023-03-09","3.45","2.02","2603.44","46786.47"
"Mary Worley","Acme Factory","Female",56,"50-59","62","161024.35","VIP","2019-10-10","2023-05-25","3.62","1.81","2597.17","44481.86"
"Christopher Mccormick","Acme Factory","n/a",28,"20-29","62","160829.51","VIP","2019-10-03","2023-06-22","3.72","1.74","2594.02","43233.74"
"Wanda Underwood","Acme Factory","Female",38,"30-39","59","160749.49","VIP","2019-09-26","2023-04-20","3.57","1.91","2724.57","45027.87"
"Richard Haugen","4You","Male",31,"30-39","68","160704.29","VIP","2019-10-31","2023-03-16","3.38","2.01","2363.30","47545.65"
"Victor Amick","Umbrella LTDA","n/a",22,"20-29","63","160408.76","VIP","2019-10-17","2022-09-29","2.95","2.47","2546.17","54375.85"
"Ruth Cook","Umbrella LTDA","n/a",27,"20-29","63","160148.21","VIP","2019-10-10","2023-06-01","3.64","1.79","2542.04","43996.76"
"Wallace Gallardo","4You","Male",56,"50-59","67","159506.70","VIP","2019-10-24","2023-06-29","3.68","1.72","2380.70","43344.21"
"Seth Mcclellan","Monsters CYA","Male",32,"30-39","67","158672.65","VIP","2019-10-10","2023-06-08","3.66","1.78","2368.25","43353.18"
"Andrew Anderson","Monsters CYA","n/a",33,"30-39","65","158312.62","VIP","2019-09-26","2023-03-30","3.51","1.97","2435.58","45103.31"
"Mike Casillas","Acme Factory","Male",33,"30-39","60","157647.31","VIP","2019-10-24","2023-06-01","3.61","1.79","2627.46","43669.61"
"Jessie Armstrong","Acme Factory","n/a",64,"60-69","64","156788.18","VIP","2019-10-24","2023-07-06","3.70","1.70","2449.82","42375.18"
"Beau Butler","Acme Factory","Male",56,"50-59","55","156241.22","VIP","2019-09-26","2022-12-15","3.22","2.25","2840.75","48522.12"
"Sandy Ayala","Umbrella LTDA","Male",22,"20-29","59","156082.84","VIP","2019-09-26","2022-10-13","3.05","2.43","2645.47","51174.70"
"Albert Garroutte","Umbrella LTDA","Male",23,"20-29","60","155915.09","VIP","2019-10-03","2023-06-08","3.68","1.78","2598.58","42368.23"
"Ernesto Naron","4You","n/a",47,"40-49","64","155839.39","VIP","2019-10-10","2023-03-09","3.41","2.02","2434.99","45700.70"
"Richard Mcdaries","Acme Factory","Male",22,"20-29","60","155651.66","VIP","2019-09-26","2023-03-09","3.45","2.02","2594.19","45116.42"
"Michael Mitchell","Umbrella LTDA","Male",31,"30-39","57","155433.05","VIP","2019-09-26","2023-02-23","3.41","2.06","2726.90","45581.54"
"Trevor Robinson","Umbrella LTDA","Male",26,"20-29","59","155266.12","VIP","2019-10-03","2023-07-06","3.76","1.70","2631.63","41294.18"
"Tara Moore","Acme Factory","Female",54,"50-59","55","155128.54","VIP","2019-09-26","2022-12-08","3.20","2.27","2820.52","48477.67"
"James Cox","Monsters CYA","n/a",52,"50-59","65","155033.00","VIP","2019-09-26","2023-03-02","3.43","2.04","2385.12","45199.13"
"Cora Soron","4You","n/a",47,"40-49","61","155016.98","VIP","2019-10-17","2023-06-01","3.62","1.79","2541.26","42822.37"
"Lucy Pagel","Monsters CYA","Female",42,"40-49","67","154906.27","VIP","2019-10-03","2023-05-04","3.59","1.87","2312.03","43149.38"
"Carl Saiz","Acme Factory","n/a",58,"50-59","61","154898.18","VIP","2019-10-10","2023-06-15","3.68","1.76","2539.31","42091.90"
"Kimberlee Knipper","Wonka Company","Female",58,"50-59","64","154885.15","VIP","2019-10-03","2023-06-08","3.68","1.78","2420.08","42088.36"
"Ray Johnson","4You","Male",56,"50-59","62","154667.44","VIP","2019-10-03","2022-10-13","3.03","2.43","2494.64","51045.36"
"Marilee Thompson","Umbrella LTDA","Female",63,"60-69","55","154257.40","VIP","2019-10-03","2023-01-05","3.26","2.20","2804.68","47318.22"
"Ramon Shoji","Acme Factory","Male",53,"50-59","59","154252.43","VIP","2019-10-10","2023-03-09","3.41","2.02","2614.45","45235.32"
"Laurel Rodriguez","Umbrella LTDA","Female",45,"40-49","56","153643.18","VIP","2019-10-17","2023-06-22","3.68","1.74","2743.63","41750.86"
"Jeffrey Ramage","Acme Factory","Male",40,"40-49","57","152861.27","VIP","2019-10-17","2023-06-22","3.68","1.74","2681.78","41538.39"
"Holly Payton","Acme Factory","Female",46,"40-49","61","152563.66","VIP","2019-10-03","2023-02-02","3.34","2.12","2501.04","45677.74"
"Mark Trogdon","4You","n/a",48,"40-49","63","151407.91","VIP","2019-10-31","2023-02-09","3.28","2.10","2403.30","46160.95"
"Dolores Davis","4You","n/a",32,"30-39","57","151006.74","VIP","2019-10-31","2023-04-06","3.43","1.95","2649.24","44025.29"
"Andre Chambers","Umbrella LTDA","Male",31,"30-39","54","150611.44","VIP","2019-10-17","2023-02-09","3.32","2.10","2789.10","45364.89"
"Kevin Paul","Monsters CYA","n/a",45,"40-49","62","150455.52","VIP","2019-10-03","2023-05-25","3.64","1.81","2426.70","41333.93"
"John Micciche","Monsters CYA","n/a",64,"60-69","60","149382.42","VIP","2019-09-26","2023-06-15","3.72","1.76","2489.71","40156.56"
"Michael Benincase","4You","Male",53,"50-59","62","148792.03","VIP","2019-10-17","2023-06-08","3.64","1.78","2399.87","40876.93"
"John Baker","Acme Factory","n/a",40,"40-49","58","148341.39","VIP","2020-01-09","2022-12-08","2.92","2.27","2557.61","50801.85"
"Betty Lindley","Acme Factory","n/a",31,"30-39","55","147706.61","VIP","2019-10-10","2022-12-01","3.15","2.29","2685.57","46890.99"
"Earl Collins","Acme Factory","Male",31,"30-39","56","146863.78","VIP","2019-10-03","2023-01-26","3.32","2.14","2622.57","44236.08"
"Julee Ruper","Umbrella LTDA","Female",36,"30-39","54","146811.01","VIP","2019-10-03","2023-02-02","3.34","2.12","2718.72","43955.39"
"Andra Parker","Monsters CYA","n/a",33,"30-39","62","146785.03","VIP","2019-09-26","2023-05-25","3.66","1.81","2367.50","40105.20"
"William Sabir","Umbrella LTDA","Male",32,"30-39","55","146666.09","VIP","2019-10-10","2022-12-22","3.20","2.24","2666.66","45833.15"
"Marion Casey","4You","Female",28,"20-29","59","146583.32","VIP","2019-10-03","2023-03-02","3.41","2.04","2484.46","42986.31"
"Muriel Booth","Wonka Company","Female",38,"30-39","60","146551.01","VIP","2019-10-10","2023-01-05","3.24","2.20","2442.52","45231.79"
"Judy Dickie","Acme Factory","Female",34,"30-39","56","146529.85","VIP","2019-10-17","2022-12-29","3.20","2.22","2616.60","45790.58"
"Sonia Malaspina","4You","Female",63,"60-69","64","145978.58","VIP","2019-10-17","2023-06-29","3.70","1.72","2280.92","39453.67"
"Jenine Hobson","4You","n/a",65,"60-69","57","145726.91","VIP","2019-09-26","2023-02-09","3.38","2.10","2556.61","43114.47"
"Susan Streets","4You","Female",63,"60-69","60","145531.82","VIP","2019-10-03","2023-04-13","3.53","1.93","2425.53","41227.14"
"Juan Naone","4You","n/a",39,"30-39","61","145016.37","VIP","2019-09-26","2023-03-30","3.51","1.97","2377.32","41315.21"
"Jessica Sancho","Acme Factory","Female",38,"30-39","54","144682.66","VIP","2019-09-26","2023-03-16","3.47","2.01","2679.31","41695.29"
"David Edelson","Monsters CYA","Male",34,"30-39","62","144644.34","VIP","2019-10-10","2023-05-18","3.61","1.83","2332.97","40067.68"
"Michael Jenkins","Monsters CYA","Male",37,"30-39","58","144336.94","VIP","2019-10-03","2023-03-30","3.49","1.97","2488.57","41357.29"
"Ruben Flores","4You","Male",65,"60-69","57","144105.67","VIP","2019-09-26","2023-05-11","3.62","1.85","2528.17","39808.20"
"Alfreda Robertson","Umbrella LTDA","n/a",26,"20-29","56","143788.90","VIP","2019-10-10","2023-05-25","3.62","1.81","2567.66","39720.69"
"Earline Sherrod","Acme Factory","n/a",22,"20-29","54","143063.41","VIP","2019-10-17","2023-03-30","3.45","1.97","2649.32","41467.66"
"Alejandro Perry","4You","Male",61,"60-69","62","142913.73","VIP","2019-09-26","2023-05-25","3.66","1.81","2305.06","39047.47"
"Kristin Gaiser","Acme Factory","Female",58,"50-59","52","142782.55","VIP","2019-11-14","2022-10-06","2.90","2.45","2745.82","49235.36"
"Lynn Quirk","4You","Female",53,"50-59","58","142589.03","VIP","2019-09-26","2023-01-12","3.30","2.18","2458.43","43208.80"
"Henry Browne","Monsters CYA","n/a",58,"50-59","60","142517.76","VIP","2019-09-26","2023-06-22","3.74","1.74","2375.30","38106.35"
"Kathleen Heller","Umbrella LTDA","Female",46,"40-49","51","142081.14","VIP","2019-10-24","2022-12-01","3.11","2.29","2785.90","45685.25"
"Walter Johnson","Wonka Company","Male",44,"40-49","62","141955.18","VIP","2019-10-03","2023-01-12","3.28","2.18","2289.60","43279.02"
"Juan Steinberg","Acme Factory","Male",39,"30-39","52","141761.73","VIP","2019-09-26","2022-12-01","3.18","2.29","2726.19","44579.16"
"Prince Webster","4You","Male",40,"40-49","62","141362.79","VIP","2019-09-26","2023-04-13","3.55","1.93","2280.05","39820.50"
"Teresa Sanchez","4You","n/a",21,"20-29","61","141331.47","VIP","2019-10-03","2023-04-27","3.57","1.89","2316.91","39588.65"
"Troy Gates","Umbrella LTDA","Male",59,"50-59","53","141196.80","VIP","2019-10-03","2022-11-24","3.15","2.31","2664.09","44824.38"
"Eleanor Washington","Umbrella LTDA","Female",42,"40-49","55","141069.92","VIP","2019-10-03","2022-09-22","2.97","2.48","2564.91","47498.29"
"Kevin Averill","Umbrella LTDA","n/a",27,"20-29","51","140986.48","VIP","2019-10-24","2023-02-16","3.32","2.08","2764.44","42465.81"
"Nancy Campbell","4You","n/a",32,"30-39","65","140765.15","VIP","2019-09-26","2023-03-02","3.43","2.04","2165.62","41039.40"
"Kenneth Jump","Monsters CYA","Male",46,"40-49","59","140742.55","VIP","2019-09-26","2023-06-15","3.72","1.76","2385.47","37834.02"
"Troy Stenberg","Umbrella LTDA","n/a",53,"50-59","52","140684.48","VIP","2019-09-26","2023-01-05","3.28","2.20","2705.47","42891.61"
"Myong Harris","Acme Factory","n/a",45,"40-49","57","140424.42","VIP","2019-10-24","2022-09-08","2.88","2.52","2463.59","48758.48"
"Eulalia White","4You","Female",45,"40-49","57","140349.20","VIP","2019-10-17","2023-06-01","3.62","1.79","2462.27","38770.50"
"Ann Moore","4You","Female",41,"40-49","58","140299.34","VIP","2019-09-26","2023-02-23","3.41","2.06","2418.95","41143.50"
"Barbara Evers","Wonka Company","n/a",64,"60-69","62","140145.05","VIP","2019-09-26","2023-05-04","3.61","1.87","2260.40","38821.34"
"Lauren Reynolds","Umbrella LTDA","Female",46,"40-49","52","140025.09","VIP","2019-09-26","2023-02-02","3.36","2.12","2692.79","41674.13"
"Kyle Young","4You","Male",59,"50-59","59","140015.83","VIP","2019-10-24","2023-05-04","3.53","1.87","2373.15","39664.54"
"Bobby Garcia","4You","Male",42,"40-49","55","139800.79","VIP","2019-09-26","2022-05-19","2.65","2.83","2541.83","52755.02"
"Christopher Brown","4You","n/a",59,"50-59","61","139715.40","VIP","2019-10-31","2023-05-18","3.55","1.83","2290.42","39356.45"
"Danny Pitpitan","Umbrella LTDA","Male",35,"30-39","53","139450.52","VIP","2019-10-03","2022-07-28","2.82","2.64","2631.14","49450.54"
"Deborah Keiser","Umbrella LTDA","Female",61,"60-69","55","138892.53","VIP","2019-10-31","2022-08-11","2.78","2.60","2525.32","49961.34"
"Alicia Watts","4You","Female",36,"30-39","60","138864.92","VIP","2019-10-17","2023-01-12","3.24","2.18","2314.42","42859.54"
"Darren Rice","Acme Factory","Male",26,"20-29","50","138838.11","VIP","2019-10-17","2022-06-16","2.67","2.75","2776.76","51999.29"
"Virginia Walker","Acme Factory","Female",43,"40-49","55","138679.61","VIP","2019-09-26","2022-12-15","3.22","2.25","2521.45","43068.20"
"Valerie Miller","Umbrella LTDA","n/a",36,"30-39","54","138533.43","VIP","2019-09-26","2023-04-27","3.59","1.89","2565.43","38588.70"
"Susan Armstrong","4You","Female",61,"60-69","58","138242.40","VIP","2019-10-03","2022-11-03","3.09","2.37","2383.49","44738.64"
"Sylvia Etheridge","4You","Female",47,"40-49","59","137968.51","VIP","2019-10-10","2023-01-19","3.28","2.16","2338.45","42063.57"
"Shonna Humpherys","Umbrella LTDA","Female",61,"60-69","54","137862.12","VIP","2019-09-26","2023-02-09","3.38","2.10","2553.00","40787.61"
"Hans Bryan","4You","n/a",37,"30-39","59","137698.83","VIP","2019-09-26","2023-05-04","3.61","1.87","2333.88","38143.72"
"Andrew Neely","Umbrella LTDA","Male",47,"40-49","51","137681.49","VIP","2019-10-03","2022-05-26","2.65","2.81","2699.64","51955.28"
"Jeffrey Duarte","Acme Factory","n/a",32,"30-39","52","137392.91","VIP","2019-10-31","2022-12-08","3.11","2.27","2642.17","44177.78"
"Michael Whitmire","Acme Factory","Male",56,"50-59","50","137276.75","VIP","2019-10-24","2023-02-16","3.32","2.08","2745.54","41348.42"
"Bradley Barone","4You","n/a",39,"30-39","58","137223.23","VIP","2019-09-26","2023-02-16","3.39","2.08","2365.92","40478.83"
"Alice Berger","Wonka Company","n/a",26,"20-29","56","136993.94","VIP","2019-09-26","2023-01-05","3.28","2.20","2446.32","41766.45"
"Leroy Harris","Monsters CYA","Male",47,"40-49","60","136884.61","VIP","2019-10-24","2023-03-23","3.41","1.99","2281.41","40142.11"
"Josephine Strasser","Acme Factory","Female",21,"20-29","53","136778.04","VIP","2019-10-17","2023-03-09","3.39","2.02","2580.72","40347.50"
"Mary Everts","Acme Factory","Female",51,"50-59","52","136727.66","VIP","2019-10-03","2023-03-09","3.43","2.02","2629.38","39862.29"
"Jose Carr","4You","Male",62,"60-69","57","136512.93","VIP","2019-10-17","2022-10-20","3.01","2.41","2394.96","45353.13"
"Thomas Fennell","Umbrella LTDA","n/a",56,"50-59","49","136492.38","VIP","2019-09-26","2023-02-23","3.41","2.06","2785.56","40027.09"
"Stacia Ratcliff","Umbrella LTDA","n/a",22,"20-29","50","136425.67","VIP","2019-09-26","2022-05-05","2.61","2.87","2728.51","52270.37"
"Paula Daniel","4You","Female",23,"20-29","60","136390.20","VIP","2019-11-14","2023-07-13","3.66","1.68","2273.17","37265.08"
"John Simpson","Umbrella LTDA","n/a",37,"30-39","52","136325.39","VIP","2019-09-26","2023-03-09","3.45","2.02","2621.64","39514.61"
"Tyler Eddy","Wonka Company","Male",65,"60-69","57","136236.98","VIP","2019-09-26","2023-04-20","3.57","1.91","2390.12","38161.62"
"Ted Bonneau","Acme Factory","Male",44,"40-49","51","136184.32","VIP","2019-11-14","2023-07-06","3.64","1.70","2670.28","37413.27"
"Natalie Ackerley","Acme Factory","n/a",34,"30-39","53","136086.99","VIP","2019-10-10","2023-05-04","3.57","1.87","2567.68","38119.61"
"Patricia Carson","4You","Female",44,"40-49","56","136000.39","VIP","2019-10-03","2023-07-13","3.78","1.68","2428.58","35978.94"
"Nancy Mondragon","Acme Factory","n/a",27,"20-29","54","135982.26","VIP","2019-10-10","2023-03-02","3.39","2.04","2518.19","40112.76"
"Lydia Goff","Umbrella LTDA","Female",28,"20-29","55","135662.00","VIP","2020-01-16","2022-07-21","2.51","2.66","2466.58","54048.61"
"Bianca Tew","Acme Factory","n/a",40,"40-49","50","135596.73","VIP","2019-10-03","2022-11-10","3.11","2.35","2711.93","43600.23"
"Ashley Servais","Monsters CYA","Female",26,"20-29","57","135439.38","VIP","2019-09-26","2023-03-23","3.49","1.99","2376.13","38807.85"
"Clarence Carleton","Umbrella LTDA","Male",53,"50-59","51","135389.93","VIP","2019-10-03","2023-02-09","3.36","2.10","2654.70","40294.62"
"Jerry Pickle","Monsters CYA","n/a",62,"60-69","54","135366.85","VIP","2019-10-24","2023-03-23","3.41","1.99","2506.79","39697.02"
"Wayne Williams","Umbrella LTDA","Male",35,"30-39","50","135300.03","VIP","2019-10-17","2022-09-08","2.90","2.52","2706.00","46655.18"
"Kaitlyn Wood","Wonka Company","Female",57,"50-59","61","135150.47","VIP","2019-09-26","2023-05-18","3.64","1.83","2215.58","37129.25"
"Mary Ewers","4You","n/a",29,"20-29","58","135146.70","VIP","2019-10-17","2023-07-06","3.72","1.70","2330.12","36329.76"
"Catherine Jenkins","4You","n/a",31,"30-39","57","135142.27","VIP","2019-12-26","2023-02-09","3.13","2.10","2370.92","43176.44"
"Victor Remington","4You","Male",52,"50-59","58","135069.89","VIP","2019-10-03","2023-06-22","3.72","1.74","2328.79","36309.11"
"Mary Harkness","4You","Female",37,"30-39","59","135050.22","VIP","2019-10-03","2022-10-13","3.03","2.43","2288.99","44571.03"
"Dorothy Barnes","4You","n/a",21,"20-29","55","134981.07","VIP","2019-09-26","2023-02-23","3.41","2.06","2454.20","39583.89"
"Josephine Sigmon","Acme Factory","Female",50,"50-59","52","134974.32","VIP","2019-09-26","2023-05-11","3.62","1.85","2595.66","37285.72"
"Ervin Janke","4You","n/a",55,"50-59","54","134936.26","VIP","2019-09-26","2023-04-20","3.57","1.91","2498.82","37797.27"
"Matthew Johnson","4You","Male",50,"50-59","53","134818.83","VIP","2019-10-03","2022-08-18","2.88","2.58","2543.75","46812.09"
"Jeffrey Collazo","Wonka Company","Male",25,"20-29","61","134575.20","VIP","2019-10-24","2023-04-27","3.51","1.89","2206.15","38340.51"
"Christopher Shultz","4You","n/a",29,"20-29","58","134564.03","VIP","2019-10-17","2023-04-20","3.51","1.91","2320.07","38337.33"
"Amanda Hanson","4You","Female",46,"40-49","60","134529.97","VIP","2019-10-10","2022-12-22","3.20","2.24","2242.17","42040.62"
"Nathan Ponder","Monsters CYA","Male",43,"40-49","56","134067.60","VIP","2019-10-24","2023-06-15","3.64","1.76","2394.06","36831.76"
"Henry Warren","4You","n/a",47,"40-49","57","133797.21","VIP","2020-01-02","2023-02-09","3.11","2.10","2347.32","43021.61"
"Matthew Sullivan","4You","n/a",26,"20-29","55","133331.47","VIP","2019-10-24","2023-02-09","3.30","2.10","2424.21","40403.48"
"Julia Meinhart","4You","Female",56,"50-59","53","133167.27","VIP","2019-10-31","2023-06-29","3.66","1.72","2512.59","36384.50"
"John Byrne","Wonka Company","Male",64,"60-69","56","132974.31","VIP","2019-09-26","2023-05-04","3.61","1.87","2374.54","36834.99"
"Tracy Mccracken","4You","Female",53,"50-59","51","132878.04","VIP","2019-09-26","2022-07-14","2.80","2.68","2605.45","47456.44"
"Martha Powell","Wonka Company","Female",46,"40-49","61","132660.17","VIP","2019-11-21","2023-03-09","3.30","2.02","2174.76","40200.05"
"Tad Corry","Acme Factory","Male",27,"20-29","50","132460.29","VIP","2019-10-10","2022-07-21","2.78","2.66","2649.21","47647.59"
"Juanita Baker","Monsters CYA","Female",52,"50-59","57","132423.86","VIP","2019-10-10","2023-04-13","3.51","1.93","2323.23","37727.60"
"Casey Bring","Umbrella LTDA","n/a",65,"60-69","52","132332.87","VIP","2019-10-03","2022-09-22","2.97","2.48","2544.86","44556.52"
"Laura Ramirez","Acme Factory","Female",42,"40-49","53","132285.95","VIP","2019-10-10","2022-08-11","2.84","2.60","2495.96","46579.56"
"Sandra Bissonnette","4You","Female",62,"60-69","56","132188.59","VIP","2019-11-28","2023-01-12","3.13","2.18","2360.51","42232.78"
"Frances Workman","Umbrella LTDA","Female",39,"30-39","51","132137.77","VIP","2019-09-26","2022-09-01","2.93","2.54","2590.94","45098.22"
"Doris Quinones","4You","Female",56,"50-59","53","132104.30","VIP","2019-10-10","2022-12-29","3.22","2.22","2492.53","41026.18"
"Robert Luther","Acme Factory","Male",52,"50-59","55","132072.07","VIP","2019-10-03","2023-01-12","3.28","2.18","2401.31","40265.88"
"Jason Bottone","Monsters CYA","n/a",55,"50-59","56","131876.77","VIP","2019-10-03","2022-11-10","3.11","2.35","2354.94","42404.11"
"Richard Juarez","4You","Male",39,"30-39","58","131757.09","VIP","2019-10-03","2023-07-06","3.76","1.70","2271.67","35041.78"
"Mathew Marin","Umbrella LTDA","Male",23,"20-29","49","131657.66","VIP","2019-09-26","2022-10-13","3.05","2.43","2686.89","43166.45"
"Nathan Binder","Acme Factory","Male",30,"30-39","52","131352.86","VIP","2019-10-03","2022-12-01","3.16","2.29","2526.02","41567.36"
"Fernande Conover","4You","Female",25,"20-29","54","131341.66","VIP","2019-10-17","2023-04-13","3.49","1.93","2432.25","37633.71"
